HEXA FEM TOPOLOGY OPTIMIZATION LOG
Start Date: 2025-12-06T15:45:03.954
Config Geometry: Dict{Any, Any}("length_z" => 20, "target_elem_count" => "14_000", "sphere3" => Dict{Any, Any}("action" => "remove", "center" => Real[34.29, 5, 2.43], "diameter" => 4, "type" => "sphere"), "box1" => Dict{Any, Any}("side" => 2, "action" => "add", "center" => Real[28, 7, -9.61], "type" => "box"), "length_y" => 20, "box2" => Dict{Any, Any}("side" => 4, "action" => "remove", "center" => [45.06, 8.95, 1.09], "type" => "box"), "length_x" => 60, "sphere2" => Dict{Any, Any}("action" => "add", "center" => [60.38, -0.07, 9.76], "diameter" => 4, "type" => "sphere"), "sphere1" => Dict{Any, Any}("action" => "remove", "center" => [12.51, 28.49, -12.13], "diameter" => 8, "type" => "sphere"))
====================================================================================================================================================================================
| Iter | Mesh Size | Total El | Active El | Radius | Cutoff | Compliance | Strain Energy | Avg L1 Stress | Vol Frac | Delta Rho | Refine? | Time (s) | Wall Time | VRAM |
|------|-----------|----------|-----------|--------|--------|------------|---------------|---------------|----------|-----------|---------|----------|-----------|------|
|    1 |  50x17x17 |    14450 |     14404 |  0.240 |  0.024 |  1.229e+04 |     6.143e+03 |     5.621e-01 |   0.9987 |    99.83% | Nominal |     4.93 |  15:45:09 | 1.3G |
|    2 |  50x17x17 |    14450 |     14299 |  0.240 |  0.047 |  2.439e+04 |     1.220e+04 |     5.656e-01 |   0.2641 |    35.35% | Nominal |     1.08 |  15:45:12 | 1.3G |
|    3 |  50x17x17 |    14450 |     13890 |  0.240 |  0.071 |  2.426e+04 |     1.213e+04 |     5.922e-01 |   0.2425 |    25.79% | Nominal |     0.92 |  15:45:13 | 1.3G |
|    4 |  50x17x17 |    14450 |     13078 |  0.240 |  0.095 |  2.467e+04 |     1.234e+04 |     6.192e-01 |   0.2304 |    19.99% | Nominal |     1.14 |  15:45:14 | 1.3G |
|    5 |  50x17x17 |    14450 |     11564 |  0.240 |  0.119 |  2.582e+04 |     1.291e+04 |     6.475e-01 |   0.2211 |    20.36% | Nominal |     1.16 |  15:45:16 | 1.3G |
|    6 |  57x19x19 |    20577 |     14785 |  0.240 |  0.142 |  2.706e+04 |     1.353e+04 |     7.092e-01 |   0.2129 |    51.56% | Refined |     1.99 |  15:45:18 | 1.3G |
|    7 |  57x19x19 |    20577 |     13096 |  0.240 |  0.166 |  2.638e+04 |     1.319e+04 |     7.987e-01 |   0.2176 |    13.51% | Nominal |     1.61 |  15:45:20 | 1.3G |
|    8 |  57x19x19 |    20577 |     11646 |  0.240 |  0.190 |  2.662e+04 |     1.331e+04 |     8.983e-01 |   0.2159 |    16.94% | Nominal |     1.51 |  15:45:21 | 1.3G |
|    9 |  63x21x21 |    27783 |     14197 |  0.240 |  0.214 |  2.808e+04 |     1.404e+04 |     9.930e-01 |   0.2085 |    24.66% | Refined |     2.15 |  15:45:24 | 1.3G |
|   10 |  63x21x21 |    27783 |     12762 |  0.240 |  0.237 |  2.759e+04 |     1.379e+04 |     1.104e+00 |   0.2123 |    23.20% | Nominal |     1.87 |  15:45:26 | 1.3G |
|   11 |  63x21x21 |    27783 |     11616 |  0.240 |  0.261 |  2.777e+04 |     1.388e+04 |     1.215e+00 |   0.2121 |    24.92% | Nominal |     1.96 |  15:45:28 | 1.3G |
|   12 |  70x23x23 |    37030 |     13901 |  0.240 |  0.285 |  2.957e+04 |     1.478e+04 |     1.357e+00 |   0.2029 |    48.45% | Refined |     2.66 |  15:45:31 | 1.3G |
|   13 |  70x23x23 |    37030 |     12839 |  0.240 |  0.309 |  2.864e+04 |     1.432e+04 |     1.464e+00 |   0.2097 |    34.77% | Nominal |     2.77 |  15:45:34 | 1.3G |
