HEXA FEM TOPOLOGY OPTIMIZATION LOG
Start Date: 2025-12-06T15:23:16.014
Config Geometry: Dict{Any, Any}("length_z" => 20, "target_elem_count" => "14_000", "sphere3" => Dict{Any, Any}("action" => "remove", "center" => Real[34.29, 5, 2.43], "diameter" => 4, "type" => "sphere"), "box1" => Dict{Any, Any}("side" => 2, "action" => "add", "center" => Real[28, 7, -9.61], "type" => "box"), "length_y" => 20, "box2" => Dict{Any, Any}("side" => 4, "action" => "remove", "center" => [45.06, 8.95, 1.09], "type" => "box"), "length_x" => 60, "sphere2" => Dict{Any, Any}("action" => "add", "center" => [60.38, -0.07, 9.76], "diameter" => 4, "type" => "sphere"), "sphere1" => Dict{Any, Any}("action" => "remove", "center" => [12.51, 28.49, -12.13], "diameter" => 8, "type" => "sphere"))
====================================================================================================================================================================================
| Iter | Mesh Size | Total El | Active El | Radius | Cutoff | Compliance | Strain Energy | Avg L1 Stress | Vol Frac | Delta Rho | Refine? | Time (s) | Wall Time | VRAM |
|------|-----------|----------|-----------|--------|--------|------------|---------------|---------------|----------|-----------|---------|----------|-----------|------|
|    1 |  50x17x17 |    14450 |     14404 |  0.240 |  0.024 |  1.229e+04 |     6.143e+03 |     5.621e-01 |   0.9987 |    99.83% | Nominal |    18.73 |  15:23:36 | 1.2G |
|    2 |  50x17x17 |    14450 |     14300 |  0.240 |  0.047 |  2.439e+04 |     1.220e+04 |     5.656e-01 |   0.2641 |    35.33% | Nominal |     1.19 |  15:23:41 | 1.2G |
|    3 |  50x17x17 |    14450 |     13889 |  0.240 |  0.071 |  2.426e+04 |     1.213e+04 |     5.921e-01 |   0.2425 |    25.76% | Nominal |     1.14 |  15:23:43 | 1.2G |
|    4 |  50x17x17 |    14450 |     13080 |  0.240 |  0.095 |  2.467e+04 |     1.233e+04 |     6.189e-01 |   0.2304 |    19.98% | Nominal |     1.19 |  15:23:44 | 1.2G |
|    5 |  50x17x17 |    14450 |     11567 |  0.240 |  0.119 |  2.582e+04 |     1.291e+04 |     6.475e-01 |   0.2211 |    20.32% | Nominal |     1.32 |  15:23:46 | 1.2G |
|    6 |  57x19x19 |    20577 |     14792 |  0.240 |  0.142 |  2.705e+04 |     1.353e+04 |     7.090e-01 |   0.2130 |    51.55% | Refined |     2.27 |  15:23:49 | 1.2G |
|    7 |  57x19x19 |    20577 |     13096 |  0.240 |  0.166 |  2.639e+04 |     1.319e+04 |     7.987e-01 |   0.2175 |    13.59% | Nominal |     1.73 |  15:23:51 | 1.2G |
|    8 |  57x19x19 |    20577 |     11650 |  0.240 |  0.190 |  2.662e+04 |     1.331e+04 |     8.981e-01 |   0.2159 |    16.94% | Nominal |     1.61 |  15:23:53 | 1.2G |
|    9 |  63x21x21 |    27783 |     14174 |  0.240 |  0.214 |  2.810e+04 |     1.405e+04 |     9.948e-01 |   0.2083 |    24.74% | Refined |     2.29 |  15:23:56 | 1.2G |
|   10 |  63x21x21 |    27783 |     12758 |  0.240 |  0.237 |  2.758e+04 |     1.379e+04 |     1.105e+00 |   0.2124 |    23.21% | Nominal |     2.01 |  15:23:59 | 1.2G |
|   11 |  63x21x21 |    27783 |     11625 |  0.240 |  0.261 |  2.781e+04 |     1.391e+04 |     1.215e+00 |   0.2122 |    33.00% | Nominal |     1.52 |  15:24:01 | 1.2G |
|   12 |  70x23x23 |    37030 |     13906 |  0.240 |  0.285 |  2.953e+04 |     1.477e+04 |     1.357e+00 |   0.2032 |    50.45% | Refined |     2.92 |  15:24:04 | 1.2G |
|   13 |  70x23x23 |    37030 |     12839 |  0.240 |  0.309 |  2.862e+04 |     1.431e+04 |     1.463e+00 |   0.2097 |    30.88% | Nominal |     2.68 |  15:24:07 | 1.2G |
|   14 |  70x23x23 |    37030 |     11938 |  0.240 |  0.332 |  2.883e+04 |     1.442e+04 |     1.575e+00 |   0.2088 |    33.30% | Nominal |     2.67 |  15:24:10 | 1.2G |
|   15 |  75x25x25 |    46875 |     13520 |  0.240 |  0.356 |  3.112e+04 |     1.556e+04 |     1.771e+00 |   0.1971 |    62.82% | Refined |     4.07 |  15:24:15 | 1.2G |
|   16 |  75x25x25 |    46875 |     12855 |  0.240 |  0.380 |  2.979e+04 |     1.490e+04 |     1.852e+00 |   0.2057 |    46.77% | Nominal |     3.34 |  15:24:19 | 1.2G |
|   17 |  75x25x25 |    46875 |     12266 |  0.240 |  0.404 |  2.998e+04 |     1.499e+04 |     1.934e+00 |   0.2043 |    44.03% | Nominal |     3.33 |  15:24:23 | 1.2G |
